cty,Name,Individual_income_For_Children_Born_in_1978_rP_gF_p1
cty02020,"Anchorage Municipality, AK",24735.764
cty02170,"Matanuska-Susitna Borough, AK",23596.561
cty02122,"Kenai Peninsula Borough, AK",23279.145
cty04013,"Maricopa County, AZ",20734.406
cty02090,"Fairbanks North Star Borough, AK",19725.775
cty05015,"Carroll County, AR",19517.059
cty01065,"Hale County, AL",19273.273
cty04003,"Cochise County, AZ",19227.307
cty04023,"Santa Cruz County, AZ",18717.807
cty04027,"Yuma County, AZ",18691.316
cty04005,"Coconino County, AZ",18467.928
cty04019,"Pima County, AZ",18453.574
cty05005,"Baxter County, AR",18306.826
cty01105,"Perry County, AL",18206.184
cty01085,"Lowndes County, AL",18044.908
cty04025,"Yavapai County, AZ",17984.99
cty01123,"Tallapoosa County, AL",17741.791
cty01035,"Conecuh County, AL",17645.725
cty01005,"Barbour County, AL",17389.777
cty01091,"Marengo County, AL",17386.402
cty05017,"Chicot County, AR",17307.402
cty04015,"Mohave County, AZ",17065.377
cty01017,"Chambers County, AL",16518.762
cty05007,"Benton County, AR",16211.479
cty01045,"Dale County, AL",16172.615
cty01079,"Lawrence County, AL",15751.395
cty04009,"Graham County, AZ",15675.16
cty01117,"Shelby County, AL",15629.405
cty01113,"Russell County, AL",15620.298
cty01013,"Butler County, AL",15585.903
cty01067,"Henry County, AL",15550.199
cty01081,"Lee County, AL",15534.122
cty01073,"Jefferson County, AL",15419.043
cty01003,"Baldwin County, AL",15286.574
cty01025,"Clarke County, AL",15044.563
cty04001,"Apache County, AZ",15042.795
cty04021,"Pinal County, AZ",15037.546
cty01051,"Elmore County, AL",14945.55
cty05001,"Arkansas County, AR",14730.584
cty01101,"Montgomery County, AL",14579.156
cty01089,"Madison County, AL",14519.259
cty01083,"Limestone County, AL",14501.764
cty01087,"Macon County, AL",14336.95
cty01021,"Chilton County, AL",14328.056
cty01125,"Tuscaloosa County, AL",14253.896
cty01107,"Pickens County, AL",14192.854
cty01031,"Coffee County, AL",14167.251
cty01001,"Autauga County, AL",14080.299
cty01097,"Mobile County, AL",13863.256
cty05023,"Cleburne County, AR",13696.157
cty01069,"Houston County, AL",13438.054
cty01119,"Sumter County, AL",13281.527
cty01053,"Escambia County, AL",13155.651
cty01039,"Covington County, AL",13122.896
cty01111,"Randolph County, AL",13032.239
cty01103,"Morgan County, AL",13002.354
cty01009,"Blount County, AL",12849.396
cty01049,"DeKalb County, AL",12795.458
cty01121,"Talladega County, AL",12661.891
cty01115,"St. Clair County, AL",12572.988
cty01015,"Calhoun County, AL",12181.992
cty01023,"Choctaw County, AL",11901.215
cty01133,"Winston County, AL",11768.146
cty01109,"Pike County, AL",11513.008
cty01007,"Bibb County, AL",10771.361
cty01011,"Bullock County, AL",
cty01127,"Walker County, AL",7861.7568
cty01019,"Cherokee County, AL",7773.2148
cty01027,"Clay County, AL",
cty01029,"Cleburne County, AL",
cty01033,"Colbert County, AL",11299.403
cty01037,"Coosa County, AL",
cty01041,"Crenshaw County, AL",
cty01055,"Etowah County, AL",12553.899
cty01061,"Geneva County, AL",12019.38
cty01047,"Dallas County, AL",11809.703
cty01077,"Lauderdale County, AL",11741.793
cty01071,"Jackson County, AL",11710.488
cty01043,"Cullman County, AL",11469.525
cty01099,"Monroe County, AL",9782.3486
cty01059,"Franklin County, AL",7074.2773
cty01057,"Fayette County, AL",6702.2656
cty01063,"Greene County, AL",
cty01075,"Lamar County, AL",
cty01095,"Marshall County, AL",11173.798
cty01093,"Marion County, AL",10625.789
cty01129,"Washington County, AL",
cty01131,"Wilcox County, AL",
cty02050,"Bethel Census Area, AK",
cty02110,"Juneau City and Borough, AK",
cty02130,"Ketchikan Gateway Borough, AK",
cty02150,"Kodiak Island Borough, AK",
cty02188,"Northwest Arctic Borough, AK",
cty02270,,
cty05009,"Boone County, AR",14184.372
cty04007,"Gila County, AZ",12761.928
cty04011,"Greenlee County, AZ",
cty04012,"La Paz County, AZ",
cty05021,"Clay County, AR",14139.396
cty04017,"Navajo County, AZ",12939.259
cty05003,"Ashley County, AR",10826.951
cty05011,"Bradley County, AR",
cty05019,"Clark County, AR",11622.948
cty05025,"Cleveland County, AR",
cty05047,"Franklin County, AR",18043.797
cty05045,"Faulkner County, AR",17657.803
cty05059,"Hot Spring County, AR",16364.192
cty05095,"Monroe County, AR",16347.614
cty05041,"Desha County, AR",16311.2
cty05087,"Madison County, AR",16231.855
cty05035,"Crittenden County, AR",15722.932
cty05113,"Polk County, AR",15612.207
cty05107,"Phillips County, AR",15533.385
cty05043,"Drew County, AR",15221.462
cty05119,"Pulaski County, AR",15120.454
cty05051,"Garland County, AR",15078.865
cty05115,"Pope County, AR",14450.453
cty05071,"Johnson County, AR",14379.122
cty05123,"St. Francis County, AR",13963.584
cty05031,"Craighead County, AR",13855.324
cty05069,"Jefferson County, AR",13763.394
cty05085,"Lonoke County, AR",13758.523
cty05063,"Independence County, AR",13712.08
cty05121,"Randolph County, AR",13577.964
cty05029,"Conway County, AR",13528.146
cty05061,"Howard County, AR",12647.319
cty05103,"Ouachita County, AR",12590.209
cty05057,"Hempstead County, AR",12383.774
cty05055,"Greene County, AR",12340.417
cty05067,"Jackson County, AR",11958.597
cty05037,"Cross County, AR",11196.332
cty05033,"Crawford County, AR",11034.584
cty05027,"Columbia County, AR",9251.5518
cty05039,"Dallas County, AR",
cty05049,"Fulton County, AR",
cty05053,"Grant County, AR",
cty05065,"Izard County, AR",
cty05073,"Lafayette County, AR",
cty05075,"Lawrence County, AR",7576.8545
cty05077,"Lee County, AR",
cty05079,"Lincoln County, AR",
cty05081,"Little River County, AR",
cty05091,"Miller County, AR",12200.626
cty05093,"Mississippi County, AR",11898.844
cty05083,"Logan County, AR",11769.477
cty05089,"Marion County, AR",
cty05097,"Montgomery County, AR",
cty05099,"Nevada County, AR",
cty05101,"Newton County, AR",
cty05105,"Perry County, AR",
cty05109,"Pike County, AR",
cty05111,"Poinsett County, AR",5757.6147
cty05117,"Prairie County, AR",
cty05125,"Saline County, AR",15984.174
cty05127,"Scott County, AR",
cty05129,"Searcy County, AR",
cty06075,"San Francisco County, CA",28843.336
cty06041,"Marin County, CA",26301.041
cty06059,"Orange County, CA",25080.854
cty06013,"Contra Costa County, CA",24181.248
cty06037,"Los Angeles County, CA",24164.781
cty06001,"Alameda County, CA",23964.576
cty06055,"Napa County, CA",23262.951
cty06073,"San Diego County, CA",22547.063
cty06017,"El Dorado County, CA",21859.057
cty06079,"San Luis Obispo County, CA",21651.453
cty06067,"Sacramento County, CA",21524.561
cty06005,"Amador County, CA",21522.242
cty06053,"Monterey County, CA",21221.293
cty06057,"Nevada County, CA",21117.152
cty06061,"Placer County, CA",21108.498
cty06069,"San Benito County, CA",20782.605
cty06065,"Riverside County, CA",20546.721
cty06033,"Lake County, CA",19961.424
cty06071,"San Bernardino County, CA",19780.342
cty06077,"San Joaquin County, CA",19296.072
cty06023,"Humboldt County, CA",19268.961
cty06045,"Mendocino County, CA",18576.408
cty06039,"Madera County, CA",18171.758
cty06035,"Lassen County, CA",17987.42
cty06047,"Merced County, CA",17661.561
cty06007,"Butte County, CA",17642.295
cty06019,"Fresno County, CA",17585.189
cty06029,"Kern County, CA",17518.561
cty06031,"Kings County, CA",17415.066
cty06009,"Calaveras County, CA",17411.344
cty06025,"Imperial County, CA",17396.609
cty06011,"Colusa County, CA",16818.438
cty05141,"Van Buren County, AR",16086.512
cty06015,"Del Norte County, CA",15795.511
cty05143,"Washington County, AR",15367.792
cty05131,"Sebastian County, AR",14545.539
cty05149,"Yell County, AR",14142.582
cty06021,"Glenn County, CA",14121.768
cty05135,"Sharp County, AR",12938.982
cty05139,"Union County, AR",12395.795
cty05145,"White County, AR",12164.981
cty05133,"Sevier County, AR",7522.6123
cty05137,"Stone County, AR",
cty05147,"Woodruff County, AR",
cty06027,"Inyo County, CA",
cty06043,"Mariposa County, CA",
cty06049,"Modoc County, CA",
cty06063,"Plumas County, CA",
cty06081,"San Mateo County, CA",28182.725
cty08035,"Douglas County, CO",26521.939
cty06085,"Santa Clara County, CA",24457.957
cty06097,"Sonoma County, CA",24113.268
cty08045,"Garfield County, CO",23957.861
cty06111,"Ventura County, CA",23602.021
cty08005,"Arapahoe County, CO",23261.014
cty08014,"Broomfield County, CO",23251.434
cty08059,"Jefferson County, CO",23136.232
cty06109,"Tuolumne County, CA",22795.211
cty08013,"Boulder County, CO",22071.545
cty06113,"Yolo County, CA",21807.873
cty08067,"La Plata County, CO",21673.143
cty06095,"Solano County, CA",21434.049
cty06083,"Santa Barbara County, CA",21253.822
cty06087,"Santa Cruz County, CA",20488.129
cty08069,"Larimer County, CO",19939.459
cty08083,"Montezuma County, CO",19378.387
cty08085,"Montrose County, CO",19071.172
cty08031,"Denver County, CO",19016.422
cty08001,"Adams County, CO",18960.191
cty06099,"Stanislaus County, CA",18469.939
cty06101,"Sutter County, CA",18380.955
cty06093,"Siskiyou County, CA",18341.824
cty06089,"Shasta County, CA",18172.512
cty08029,"Delta County, CO",17828.924
cty08003,"Alamosa County, CO",17036.664
cty06103,"Tehama County, CA",15705.733
cty06105,"Trinity County, CA",
cty06107,"Tulare County, CA",17637.549
cty08043,"Fremont County, CO",15596.159
cty06115,"Yuba County, CA",14989.571
cty08007,"Archuleta County, CO",
cty08011,"Bent County, CO",
cty08015,"Chaffee County, CO",
cty08021,"Conejos County, CO",
cty08037,"Eagle County, CO",
cty08039,"Elbert County, CO",
cty08041,"El Paso County, CO",17250.785
cty08051,"Gunnison County, CO",
cty08055,"Huerfano County, CO",
cty08063,"Kit Carson County, CO",
cty08065,"Lake County, CO",
cty08075,"Logan County, CO",17945.66
cty08077,"Mesa County, CO",17488.061
cty08089,"Otero County, CO",17447.031
cty08071,"Las Animas County, CO",15847.173
cty08081,"Moffat County, CO",
cty08087,"Morgan County, CO",17373.668
cty08093,"Park County, CO",
cty08105,"Rio Grande County, CO",19957.313
cty08101,"Pueblo County, CO",15729.11
cty08119,"Teller County, CO",
cty08121,"Washington County, CO",
cty09013,"Tolland County, CT",27285.938
cty09007,"Middlesex County, CT",26267.496
cty09009,"New Haven County, CT",24775.09
cty09005,"Litchfield County, CT",24616.404
cty12035,"Flagler County, FL",22654.352
cty11001,"District of Columbia, DC",22200.68
cty10005,"Sussex County, DE",18421.441
cty12057,"Hillsborough County, FL",18259.605
cty08123,"Weld County, CO",17740.266
cty08125,"Yuma County, CO",
cty09001,"Fairfield County, CT",26984.199
cty09003,"Hartford County, CT",24596.473
cty12011,"Broward County, FL",21892.006
cty12021,"Collier County, FL",20908.932
cty09011,"New London County, CT",20569.777
cty10003,"New Castle County, DE",19738.066
cty09015,"Windham County, CT",19684.723
cty12015,"Charlotte County, FL",18681.699
cty12001,"Alachua County, FL",18054.096
cty12009,"Brevard County, FL",17960.527
cty12061,"Indian River County, FL",17698.605
cty12019,"Clay County, FL",17655.119
cty12053,"Hernando County, FL",17562.879
cty10001,"Kent County, DE",17541.848
cty12055,"Highlands County, FL",17427.82
cty12049,"Hardee County, FL",17353.15
cty08099,"Prowers County, CO",16834.42
cty12017,"Citrus County, FL",16785.797
cty12031,"Duval County, FL",16226.75
cty12005,"Bay County, FL",16059.327
cty12063,"Jackson County, FL",15892.878
