cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p75
cty01057,"Fayette County, AL",41257.02
cty01007,"Bibb County, AL",40636.09
cty01019,"Cherokee County, AL",40200.137
cty01053,"Escambia County, AL",38903.957
cty01013,"Butler County, AL",38438.254
cty01021,"Chilton County, AL",38034.652
cty01025,"Clarke County, AL",37761.891
cty01047,"Dallas County, AL",37737.688
cty01061,"Geneva County, AL",36831.051
cty01009,"Blount County, AL",36503.305
cty01023,"Choctaw County, AL",36302.977
cty01001,"Autauga County, AL",36055.871
cty01071,"Jackson County, AL",35995.41
cty01067,"Henry County, AL",35772.414
cty01003,"Baldwin County, AL",35770.395
cty01039,"Covington County, AL",35741.891
cty01079,"Lawrence County, AL",35564.367
cty01045,"Dale County, AL",35365.93
cty01015,"Calhoun County, AL",35361.742
cty01051,"Elmore County, AL",35315.762
cty01095,"Marshall County, AL",35072.531
cty01097,"Mobile County, AL",34687.797
cty01033,"Colbert County, AL",34489.656
cty01005,"Barbour County, AL",34138.902
cty01011,"Bullock County, AL",
cty01101,"Montgomery County, AL",34279.875
cty01093,"Marion County, AL",33741.691
cty01017,"Chambers County, AL",33711.289
cty01027,"Clay County, AL",
cty01029,"Cleburne County, AL",
cty01031,"Coffee County, AL",34741.727
cty01035,"Conecuh County, AL",
cty01037,"Coosa County, AL",
cty01041,"Crenshaw County, AL",
cty01091,"Marengo County, AL",36850.371
cty01099,"Monroe County, AL",35564.508
cty01069,"Houston County, AL",35023.641
cty01049,"DeKalb County, AL",34720.453
cty01073,"Jefferson County, AL",34589.504
cty01043,"Cullman County, AL",34464.93
cty01103,"Morgan County, AL",34322.012
cty01055,"Etowah County, AL",33870.918
cty01059,"Franklin County, AL",33255.871
cty01063,"Greene County, AL",
cty01065,"Hale County, AL",
cty01075,"Lamar County, AL",
cty01083,"Limestone County, AL",34071.469
cty01081,"Lee County, AL",33171.777
cty01077,"Lauderdale County, AL",33042.066
cty01085,"Lowndes County, AL",
cty01087,"Macon County, AL",
cty01089,"Madison County, AL",32327.281
cty01105,"Perry County, AL",
cty02122,"Kenai Peninsula Borough, AK",41132.078
cty04011,"Greenlee County, AZ",40646.945
cty02170,"Matanuska-Susitna Borough, AK",40064.996
cty02130,"Ketchikan Gateway Borough, AK",38564.84
cty04007,"Gila County, AZ",38388.285
cty02110,"Juneau City and Borough, AK",37767.461
cty02090,"Fairbanks North Star Borough, AK",37713.316
cty02020,"Anchorage Municipality, AK",37706.547
cty04009,"Graham County, AZ",37699.832
cty04021,"Pinal County, AZ",37670.844
cty01129,"Washington County, AL",37654.297
cty05001,"Arkansas County, AR",37507.434
cty01107,"Pickens County, AL",37259.965
cty04027,"Yuma County, AZ",37034.957
cty01121,"Talladega County, AL",36786.246
cty04015,"Mohave County, AZ",36479.035
cty01111,"Randolph County, AL",36349
cty04003,"Cochise County, AZ",36302.836
cty04013,"Maricopa County, AZ",36131.734
cty05021,"Clay County, AR",36120.387
cty05003,"Ashley County, AR",36046.73
cty04005,"Coconino County, AZ",35664.289
cty01117,"Shelby County, AL",35557.633
cty05019,"Clark County, AR",35162.094
cty01109,"Pike County, AL",35111.902
cty05007,"Benton County, AR",34928.246
cty04025,"Yavapai County, AZ",34923.25
cty01125,"Tuscaloosa County, AL",34906.063
cty05009,"Boone County, AR",34894.535
cty01133,"Winston County, AL",34727.035
cty04019,"Pima County, AZ",34583.086
cty01123,"Tallapoosa County, AL",34399.539
cty05015,"Carroll County, AR",34298.813
cty02150,"Kodiak Island Borough, AK",34246.48
cty04023,"Santa Cruz County, AZ",34219.934
cty01115,"St. Clair County, AL",34139.227
cty04017,"Navajo County, AZ",33802.043
cty01113,"Russell County, AL",32145.83
cty01119,"Sumter County, AL",
cty01127,"Walker County, AL",34136.676
cty01131,"Wilcox County, AL",
cty02050,"Bethel Census Area, AK",
cty02188,"Northwest Arctic Borough, AK",
cty02270,,
cty05005,"Baxter County, AR",33659.23
cty04001,"Apache County, AZ",25666.771
cty04012,"La Paz County, AZ",
cty05011,"Bradley County, AR",
cty05017,"Chicot County, AR",
cty05023,"Cleburne County, AR",34427.359
cty05025,"Cleveland County, AR",
cty05029,"Conway County, AR",38745.992
cty05027,"Columbia County, AR",38296.676
cty05047,"Franklin County, AR",37906.297
cty05083,"Logan County, AR",37506.137
