cty,Name,Individual_income_For_Children_Born_in_1978_rP_gF_p100
cty01059,"Franklin County, AL",42837.375
cty01053,"Escambia County, AL",40330.813
cty01043,"Cullman County, AL",40201.84
cty01047,"Dallas County, AL",40162.887
cty01099,"Monroe County, AL",39205.031
cty01095,"Marshall County, AL",39061.527
cty01101,"Montgomery County, AL",38606.883
cty01009,"Blount County, AL",38543.051
cty01039,"Covington County, AL",38519.23
cty01021,"Chilton County, AL",38157.746
cty01077,"Lauderdale County, AL",37975.98
cty01073,"Jefferson County, AL",37388.828
cty01055,"Etowah County, AL",37188.223
cty01031,"Coffee County, AL",37090.918
cty01071,"Jackson County, AL",37062.387
cty01051,"Elmore County, AL",36789.102
cty01069,"Houston County, AL",36577.836
cty01081,"Lee County, AL",36550.121
cty01089,"Madison County, AL",36519.52
cty01025,"Clarke County, AL",36499.496
cty01049,"DeKalb County, AL",36479.48
cty01003,"Baldwin County, AL",36383.902
cty01017,"Chambers County, AL",36136.469
cty01097,"Mobile County, AL",35786.238
cty01015,"Calhoun County, AL",35692.691
cty01045,"Dale County, AL",35371.785
cty01033,"Colbert County, AL",34905.031
cty01001,"Autauga County, AL",34393.766
cty01005,"Barbour County, AL",32245.645
cty01007,"Bibb County, AL",
cty01011,"Bullock County, AL",
cty01013,"Butler County, AL",
cty01019,"Cherokee County, AL",
cty01023,"Choctaw County, AL",
cty01027,"Clay County, AL",
cty01029,"Cleburne County, AL",
cty01035,"Conecuh County, AL",
cty01037,"Coosa County, AL",
cty01041,"Crenshaw County, AL",
cty01057,"Fayette County, AL",
cty01079,"Lawrence County, AL",34283.668
cty01083,"Limestone County, AL",33472.375
cty01061,"Geneva County, AL",32966.344
cty01063,"Greene County, AL",
cty01065,"Hale County, AL",
cty01067,"Henry County, AL",
cty01075,"Lamar County, AL",
cty01085,"Lowndes County, AL",
cty01087,"Macon County, AL",
cty01091,"Marengo County, AL",
cty01093,"Marion County, AL",
cty01103,"Morgan County, AL",36021.23
cty01105,"Perry County, AL",
cty01107,"Pickens County, AL",
cty01109,"Pike County, AL",42690.844
cty01111,"Randolph County, AL",
cty05009,"Boone County, AR",40633.184
cty05001,"Arkansas County, AR",40345.258
cty05019,"Clark County, AR",39427.164
cty01123,"Tallapoosa County, AL",38164.09
cty01113,"Russell County, AL",37960.219
cty01115,"St. Clair County, AL",37772.059
cty01117,"Shelby County, AL",36895.16
cty01119,"Sumter County, AL",
cty01121,"Talladega County, AL",37264.293
cty01127,"Walker County, AL",37133.824
cty01125,"Tuscaloosa County, AL",36571.719
cty01129,"Washington County, AL",
cty01131,"Wilcox County, AL",
cty01133,"Winston County, AL",
cty04023,"Santa Cruz County, AZ",40057.223
cty05003,"Ashley County, AR",38277.691
cty02110,"Juneau City and Borough, AK",37231.172
cty05007,"Benton County, AR",36444.012
cty04027,"Yuma County, AZ",35865.363
cty04013,"Maricopa County, AZ",35140.758
