cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p25
cty18087,"LaGrange County, IN",38855.895
cty02122,"Kenai Peninsula Borough, AK",36220.344
cty18073,"Jasper County, IN",35237.828
cty02170,"Matanuska-Susitna Borough, AK",34879.93
cty02110,"Juneau City and Borough, AK",34743.828
cty18037,"Dubois County, IN",33914.039
cty18007,"Benton County, IN",33900.242
cty19005,"Allamakee County, IA",32246.25
cty01075,"Lamar County, AL",31756.189
cty18147,"Spencer County, IN",31648.123
cty02090,"Fairbanks North Star Borough, AK",31565.5
cty18045,"Fountain County, IN",31498.205
cty18125,"Pike County, IN",31403.24
cty17203,"Woodford County, IL",31254.338
cty18113,"Noble County, IN",30596.098
cty18179,"Wells County, IN",30376.045
cty18123,"Perry County, IN",30322
cty01041,"Crenshaw County, AL",30233.754
cty18173,"Warrick County, IN",30113.971
cty18181,"White County, IN",30035.242
cty04027,"Yuma County, AZ",30021.174
cty18027,"Daviess County, IN",29964.361
cty17191,"Wayne County, IL",29827.309
cty04009,"Graham County, AZ",29816.918
cty18063,"Hendricks County, IN",29771.297
cty02020,"Anchorage Municipality, AK",29757.986
cty18127,"Porter County, IN",29702.383
cty18085,"Kosciusko County, IN",29661.447
cty18077,"Jefferson County, IN",29652.895
cty18111,"Newton County, IN",29645.604
cty18153,"Sullivan County, IN",29611.076
cty18051,"Gibson County, IN",29532.273
cty01027,"Clay County, AL",29509.871
cty04012,"La Paz County, AZ",29491.016
cty18047,"Franklin County, IN",29468.639
cty04025,"Yavapai County, AZ",29381.111
cty18175,"Washington County, IN",29366.877
cty18059,"Hancock County, IN",29259.961
cty18131,"Pulaski County, IN",29204.578
cty19007,"Appanoose County, IA",29002.801
cty05021,"Clay County, AR",28993.225
cty17193,"White County, IL",28907.678
cty01021,"Chilton County, AL",28873.734
cty18049,"Fulton County, IN",28800.912
cty13177,"Lee County, GA",28780.041
cty18099,"Marshall County, IN",28706.309
cty04003,"Cochise County, AZ",28629.119
cty18031,"Decatur County, IN",28601.453
cty18117,"Orange County, IN",28556.199
cty18183,"Whitley County, IN",28538.838
cty17195,"Whiteside County, IL",28452.854
cty04013,"Maricopa County, AZ",28379.115
cty18101,"Martin County, IN",28372.748
cty18129,"Posey County, IN",28302.566
cty04023,"Santa Cruz County, AZ",28243.563
cty18061,"Harrison County, IN",28209.381
cty17197,"Will County, IL",28207.193
cty01129,"Washington County, AL",28202.471
cty04007,"Gila County, AZ",28193.836
cty18155,"Switzerland County, IN",28145.203
cty18001,"Adams County, IN",28127.252
cty18039,"Elkhart County, IN",28077.311
cty18135,"Randolph County, IN",28001.832
cty18057,"Hamilton County, IN",27973.668
cty04015,"Mohave County, AZ",27953.355
cty18121,"Parke County, IN",27876.611
cty18159,"Tipton County, IN",27723.227
cty18055,"Greene County, IN",27708.277
cty01007,"Bibb County, AL",27704.416
cty18029,"Dearborn County, IN",27652.996
cty13229,"Pierce County, GA",27642.465
cty18081,"Johnson County, IN",27437.721
cty01079,"Lawrence County, AL",27357.932
cty18079,"Jennings County, IN",27357.145
cty18083,"Knox County, IN",27313.578
cty18107,"Montgomery County, IN",27241.861
cty13195,"Madison County, GA",27235.406
cty01117,"Shelby County, AL",27201.262
cty01029,"Cleburne County, AL",27173.773
cty04005,"Coconino County, AZ",27118.424
cty05015,"Carroll County, AR",27069.525
cty05005,"Baxter County, AR",26854.242
cty13219,"Oconee County, GA",26842.344
cty18071,"Jackson County, IN",26806.893
cty01111,"Randolph County, AL",26768.006
cty01037,"Coosa County, AL",26731.479
cty18137,"Ripley County, IN",26669.91
cty13223,"Paulding County, GA",26623.164
cty18149,"Starke County, IN",26543.107
cty18013,"Brown County, IN",26534.182
cty18069,"Huntington County, IN",26496.48
cty18011,"Boone County, IN",26446.725
cty18033,"DeKalb County, IN",26397.994
cty04019,"Pima County, AZ",26394.559
cty18169,"Wabash County, IN",26261.279
cty05007,"Benton County, AR",26238.203
cty18151,"Steuben County, IN",26234.49
cty18093,"Lawrence County, IN",26183.77
cty18021,"Clay County, IN",26156.658
cty18075,"Jay County, IN",26132.273
cty18017,"Cass County, IN",26112.801
