"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)",
"0400000US01","Alabama","43511","226",
"0400000US02","Alaska","71829","735",
"0400000US04","Arizona","49928","244",
"0400000US05","Arkansas","41264","239",
"0400000US06","California","61489","154",
"0400000US08","Colorado","59448","312",
"0400000US09","Connecticut","69899","520",
"0400000US10","Delaware","60231","601",
"0400000US11","District of Columbia","69235","1127",
"0400000US12","Florida","47212","163",
"0400000US13","Georgia","49342","215",
"0400000US15","Hawaii","68201","682",
"0400000US16","Idaho","47334","444",
"0400000US17","Illinois","57166","203",
"0400000US18","Indiana","48737","254",
"0400000US19","Iowa","52716","271",
"0400000US20","Kansas","51872","245",
"0400000US21","Kentucky","43342","237",
"0400000US22","Louisiana","44991","329",
"0400000US23","Maine","48804","481",
"0400000US24","Maryland","74149","395",
"0400000US25","Massachusetts","67846","387",
"0400000US26","Michigan","49087","192",
"0400000US27","Minnesota","60828","240",
"0400000US28","Mississippi","39464","306",
"0400000US29","Missouri","47764","234",
"0400000US30","Montana","46766","502",
"0400000US31","Nebraska","52400","334",
"0400000US32","Nevada","52205","302",
"0400000US33","New Hampshire","65986","546",
"0400000US34","New Jersey","72062","330",
"0400000US35","New Mexico","44968","419",
"0400000US36","New York","58687","207",
"0400000US37","North Carolina","46693","191",
"0400000US38","North Dakota","55579","753",
"0400000US39","Ohio","48849","162",
"0400000US40","Oklahoma","46235","201",
"0400000US41","Oregon","50521","266",
"0400000US42","Pennsylvania","53115","159",
"0400000US44","Rhode Island","56423","679",
"0400000US45","South Carolina","45033","249",
"0400000US46","South Dakota","50338","436",
"0400000US47","Tennessee","44621","206",
"0400000US48","Texas","52576","147",
"0400000US49","Utah","59846","392",
"0400000US50","Vermont","54447","555",
"0400000US51","Virginia","64792","274",
"0400000US53","Washington","60294","265",
"0400000US54","West Virginia","41576","355",
"0400000US55","Wisconsin","52738","201",
"0400000US56","Wyoming","58252","788",
